,Name
0,Cleaning before checkout
1,Elevator
2,Carbon monoxide detector
3,Smart lock
4,Suitable for events
5,Shower gel
6,24-hour check-in
7,Trash can
8,Pool
9,Iron
10,Breakfast
11,Washer
12,Wheelchair accessible
13,translation missing: en.hosting_amenity_49
14,Ethernet connection
15,Smoke detector
16,Pocket wifi
17,Host greets you
18,Handheld shower head
19,TV
20,Internet
21,Microwave
22,Hangers
23,Children’s dinnerware
24,Baby bath
25,Dryer
26,Kitchen
27,Air conditioning
28,Pack ’n Play/travel crib
29,Doorman
30,Beachfront
31,Private entrance
32,Table corner guards
33,Long term stays allowed
34,Other
35,Washer/Dryer
36,Free street parking
37,Free parking on premises
38,Family/kid friendly
39,Barbecue utensils
40,Smoking allowed
41,Game console
42,Heating
43,Safety card
44,Oven
45,Hot tub
46,Essentials
47,Laptop friendly workspace
48,Garden or backyard
49,Keypad
50,translation missing: en.hosting_amenity_50
51,Single level home
52,Dog(s)
53,Hot water
54,Stove
55,Pets allowed
56,High chair
57,Window guards
58,Shampoo
59,Wifi
60,Patio or balcony
61,Gym
62,Lock on bedroom door
63,Pets live on this property
64,Room-darkening shades
65,Firm mattress
66,Extra pillows and blankets
67,Paid parking off premises
68,Other pet(s)
69,Refrigerator
70,Self check-in
71,Cat(s)
72,Bathtub
73,Paid parking on premises
74,Crib
75,Luggage dropoff allowed
76,Beach essentials
77,Hair dryer
78,Lockbox
79,Coffee maker
80,Outlet covers
81,Fire extinguisher
82,Fireplace guards
83,Babysitter recommendations
84,BBQ grill
85,Stair gates
86,Building staff
87,Cooking basics
88,Waterfront
89,Bed linens
90,Dishwasher
91,Dishes and silverware
92,Cable TV
93,First aid kit
94,Changing table
95,Indoor fireplace
96,Children’s books and toys
97,Buzzer/wireless intercom
98,Lake access
99,Baking sheet
100,Private living room
