,ReviewId,ExperienceId,UserId,Description,Rating,Communications,Value
0,236455,176607,985862,Review1,2,2,5
1,500704,785496,161447,Review2,3,2,3
2,688243,465627,185293,Review3,1,3,1
3,296009,878978,907393,Review4,3,1,2
4,815289,57688,668278,Review5,1,1,1
5,853354,972299,833213,Review6,5,5,2
6,293263,833880,106794,Review7,4,1,2
7,521780,508730,947956,Review8,5,2,3
8,324973,59962,151691,Review9,4,4,2
9,847792,206052,399711,Review10,2,2,5
10,250317,748184,828087,Review11,3,3,3
11,178808,309768,648750,Review12,2,5,4
12,57498,952448,493579,Review13,1,1,2
13,12423,595706,801016,Review14,2,1,2
14,804171,878978,967732,Review15,1,3,5
15,684356,785496,249872,Review16,3,1,2
16,608299,355168,694135,Review17,2,3,5
17,790048,633712,833281,Review18,4,3,1
18,46283,402006,907393,Review19,2,2,1
19,492160,434736,279944,Review20,4,4,5
20,438876,157357,862084,Review21,4,3,5
21,135744,687028,111332,Review22,3,1,4
22,136415,211658,448394,Review23,2,5,2
23,60930,925398,839790,Review24,3,4,3
24,988869,862583,531217,Review25,2,4,3
25,100239,501004,981981,Review26,3,5,5
26,210004,888310,413520,Review27,5,3,4
27,641889,308370,595765,Review28,3,4,2
28,660669,206052,497611,Review29,5,1,1
29,386490,372128,398386,Review30,4,2,1
30,258524,940494,151691,Review31,5,3,5
31,126835,934186,132480,Review32,2,1,4
32,453191,831995,572295,Review33,1,3,2
33,636695,8924,767164,Review34,3,2,4
34,34534,414375,899515,Review35,4,1,2
35,593625,363888,467734,Review36,5,2,2
36,977353,923591,178377,Review37,4,2,3
37,246274,70657,900916,Review38,2,4,4
38,52934,940494,143423,Review39,5,3,1
39,635668,736483,397597,Review40,3,1,5
40,354315,52728,169186,Review41,1,4,4
41,498719,343271,257562,Review42,2,1,3
42,781951,763962,342825,Review43,2,4,4
43,943881,432899,659169,Review44,5,2,4
44,970487,970730,19565,Review45,2,4,3
45,756293,402006,790055,Review46,3,2,1
46,156064,489742,142114,Review47,2,4,3
47,275420,461943,714475,Review48,4,4,5
48,766661,967938,848108,Review49,5,5,2
49,160859,418028,645872,Review50,2,5,3
50,366612,863708,512430,Review51,4,4,2
51,291608,834023,930670,Review52,1,1,5
52,354863,691731,846431,Review53,2,4,2
53,54907,573927,705253,Review54,2,2,2
54,455001,87945,895014,Review55,5,4,1
55,461899,640179,304123,Review56,1,4,1
56,507360,713957,819024,Review57,2,4,4
57,423021,332005,601342,Review58,4,1,1
58,638910,342975,876968,Review59,3,4,1
59,337065,308370,372290,Review60,3,4,1
60,828998,888310,453264,Review61,4,1,4
61,734606,748310,765975,Review62,3,4,4
62,700104,459001,104978,Review63,1,3,1
63,139316,512974,568183,Review64,1,4,1
64,253819,878978,607368,Review65,3,3,4
65,908094,618658,111332,Review66,4,5,4
66,558414,952448,883646,Review67,2,5,4
67,163667,785496,337241,Review68,5,3,3
68,434309,685718,656100,Review69,5,5,4
69,491540,594992,599933,Review70,3,1,2
70,267675,863708,999621,Review71,3,3,2
71,542870,343074,116300,Review72,4,4,5
72,773987,748310,707858,Review73,4,4,1
73,192139,578300,649202,Review74,5,4,1
74,345368,644636,967732,Review75,3,3,3
75,132461,923591,625762,Review76,2,4,2
76,251890,459001,981981,Review77,4,1,2
77,271347,412734,182511,Review78,3,3,5
78,580939,559851,3734,Review79,5,1,5
79,373713,414375,547524,Review80,5,2,4
80,630979,862583,331876,Review81,5,3,3
81,369795,463298,644097,Review82,2,4,3
82,411994,332005,190175,Review83,2,2,2
83,865208,633712,825840,Review84,3,2,4
84,934782,461943,267345,Review85,5,3,1
85,279115,851299,643711,Review86,1,4,4
86,678320,374577,714384,Review87,4,1,5
87,354576,633712,790055,Review88,4,3,1
88,669043,685718,749398,Review89,3,1,5
89,15828,707253,283440,Review90,2,2,3
90,428269,667834,648750,Review91,5,4,5
91,930408,321534,378302,Review92,4,2,3
92,374417,707253,258444,Review93,5,1,3
93,788406,42229,801016,Review94,5,4,4
94,922911,888310,803002,Review95,1,1,2
95,536811,70657,981981,Review96,3,1,4
96,856153,225689,460180,Review97,3,3,5
97,31272,884999,833213,Review98,4,2,5
98,947006,453021,790055,Review99,1,4,3
99,401198,342975,607930,Review100,5,5,3
100,510602,338964,984329,Review101,4,5,2
101,311854,321534,499292,Review102,5,1,1
102,656475,316461,773835,Review103,2,1,3
103,359272,722397,422446,Review104,3,4,2
104,280765,609528,773835,Review105,1,4,3
105,615547,970730,161447,Review106,5,2,4
106,128555,568743,61270,Review107,5,2,3
107,817790,519531,331876,Review108,4,4,4
108,283954,653220,891846,Review109,4,2,4
109,995770,122389,427320,Review110,2,5,3
110,806820,501004,116278,Review111,2,5,5
111,177043,332005,121113,Review112,1,1,1
112,43601,874079,218533,Review113,3,5,3
113,804622,667834,733905,Review114,2,4,4
114,353914,742724,517806,Review115,3,4,2
115,372146,297278,109423,Review116,3,5,4
116,944037,225689,584971,Review117,3,5,3
117,910834,394861,82476,Review118,5,2,2
118,551648,212920,376601,Review119,3,4,2
119,131305,374577,122040,Review120,4,2,1
120,395412,175156,467734,Review121,2,3,2
121,240070,653220,358881,Review122,5,1,3
122,680640,104122,398511,Review123,1,2,5
123,811535,858018,644817,Review124,3,1,3
124,432260,414375,924724,Review125,1,5,2
125,827070,54928,707026,Review126,5,2,1
126,826683,157357,969240,Review127,3,3,2
127,430402,479771,499292,Review128,5,1,3
128,559473,493028,734566,Review129,1,1,4
129,424736,748662,398511,Review130,4,3,5
130,140191,156892,801016,Review131,3,5,4
131,584797,93475,1373,Review132,3,2,4
132,908971,402006,9406,Review133,5,1,2
133,786871,858018,347338,Review134,4,4,1
134,292173,578300,168894,Review135,5,1,1
135,150863,708447,116278,Review136,3,3,4
136,146672,543846,640382,Review137,5,5,2
137,651157,466535,89769,Review138,5,3,2
138,84553,707253,80975,Review139,2,3,1
139,439080,212920,175741,Review140,4,5,2
140,964461,667834,448091,Review141,4,4,5
141,37661,635869,870848,Review142,5,2,2
142,318202,243431,970720,Review143,1,5,2
143,611854,996658,970720,Review144,2,5,5
144,531797,176607,608397,Review145,1,2,1
145,727645,748347,789611,Review146,1,3,1
146,656924,114486,307787,Review147,2,1,4
147,918483,865848,750759,Review148,2,5,2
148,176133,255686,190175,Review149,5,2,4
149,681105,851299,648750,Review150,2,3,2
150,68582,964252,514909,Review151,2,1,5
151,978916,589091,132405,Review152,2,4,5
152,972095,176607,122040,Review153,2,4,4
153,366638,112830,422446,Review154,5,3,1
154,870568,486058,122040,Review155,1,1,3
155,36777,865814,512430,Review156,5,4,3
156,112177,708447,47497,Review157,4,1,2
157,155920,453021,437450,Review158,1,3,1
158,747862,608373,342825,Review159,5,2,5
159,35247,343074,349802,Review160,5,1,4
160,861996,748662,23932,Review161,2,1,4
161,191842,573927,936753,Review162,4,4,3
162,516238,501004,407502,Review163,4,1,2
163,371686,211658,927752,Review164,5,5,1
164,96952,543846,363685,Review165,5,3,1
165,292594,841346,907393,Review166,3,5,2
166,189510,748347,397597,Review167,1,3,4
167,535577,508730,690894,Review168,2,1,4
168,490061,644722,31994,Review169,2,2,3
169,901573,418028,193994,Review170,5,4,3
170,929752,418028,383012,Review171,1,5,3
171,95414,629737,803002,Review172,5,4,3
172,809799,691731,958733,Review173,2,5,4
173,163307,176607,126907,Review174,2,2,4
174,116504,309768,304123,Review175,4,1,4
175,130185,486058,640382,Review176,5,4,5
176,582148,114486,819024,Review177,2,1,2
177,753441,560190,121113,Review178,1,4,4
178,121626,707253,546125,Review179,3,5,1
179,260947,365547,353620,Review180,2,4,5
180,19805,486058,79786,Review181,5,3,1
181,284520,861830,414663,Review182,4,5,3
182,886988,589091,791784,Review183,4,2,2
183,559545,707253,502928,Review184,5,3,1
184,60241,568743,550266,Review185,4,1,4
185,782370,185481,376181,Review186,2,1,2
186,456317,874079,365876,Review187,4,1,2
187,395862,931882,30799,Review188,3,2,4
188,873893,748662,475948,Review189,1,3,3
189,22468,861830,722025,Review190,2,4,2
190,75160,988888,305335,Review191,3,4,5
191,606190,453021,372290,Review192,1,2,4
192,71075,614532,764663,Review193,5,2,5
193,653949,361395,848468,Review194,4,4,3
194,597505,885263,30799,Review195,4,5,4
195,204248,309768,376181,Review196,3,3,3
196,78058,634078,68493,Review197,4,2,5
197,566012,644636,767132,Review198,1,2,1
198,923307,785496,568255,Review199,2,2,5
199,579693,537327,326720,Review200,3,3,2
200,180430,453021,764663,Review201,3,4,2
201,158158,432899,27272,Review202,2,2,2
202,931665,748347,746834,Review203,3,4,1
203,654121,35199,927752,Review204,2,2,4
204,136586,308370,215607,Review205,4,1,3
205,167282,577465,190175,Review206,3,5,3
206,931369,488465,899798,Review207,1,1,3
207,256547,493028,703803,Review208,2,1,5
208,788414,964252,599933,Review209,4,2,2
209,17007,23723,62664,Review210,2,5,5
210,952474,256063,165180,Review211,1,4,4
211,30004,309768,967732,Review212,4,5,5
212,933109,577465,773493,Review213,1,2,4
213,941891,359315,5199,Review214,2,2,3
214,841897,230116,168894,Review215,2,2,2
215,169305,412734,862084,Review216,1,5,2
216,298892,653220,607930,Review217,5,4,3
217,23392,561256,388195,Review218,5,1,4
218,503136,635869,984329,Review219,2,5,3
