,ReviewId,PropertyId,UserId,Description,Rating,Communications,Cleanliness,Value
0,213224,20724,656100, ut luctus. N,2,4,5,4
1,120212,104722,453264,"dictum urna lorem vitae lectus. Ut dignissim vehicula dui non rhoncus. Aliquam erat volutpat. Suspendisse aliquet ullamcorper odio, eget sagittis nisi interdum in. Donec non vestibulum turpis, vel finibus ipsum. Duis tincidunt et velit at egestas.

Aliquam gravida sapien vitae sem accumsan, sed aliquet quam iaculis. Nunc ornare ante dignissim sapien molestie, vel elementum tellus egestas. Nam rutrum scelerisque nulla ut luctus. Nulla et urna quis massa suscipit venenatis id pretium elit. In molestie urna lorem, a placerat tortor vestibulum ut. Cras ut nisl sed odio vulputate dapibus ut ut lectus. Vestibulum varius, enim sed faucibus gravida, odio nunc dictum odio, non venenatis lectus libero ut urna. Nullam ornare sapien vel mi mollis, vitae gravida erat interdum. Cras non rutrum erat, et congue tortor. Quisque urna sem, dapibus id viverra sed, dapibus id erat. Morbi vel neque ullamcorper",3,4,1,1
2,356172,75051,544631,"e gravida, magna ut consequat eleifend, magna quam mattis ipsum, consequat sollicitudin mi nisi vel a",3,3,3,3
3,279488,384549,703803,"stas. Nam rutrum scelerisque nulla ut luctus. Nulla et urna quis massa suscipit venenatis id pretium elit. In molestie urna lorem, a placerat tortor vestibulum ut. Cras ut nisl sed odio vulputate dapibus ut ut lectus. Vestibulum varius, enim sed faucibus gravida, odio nunc di",1,5,3,2
4,876660,8110,800572,"us porttitor. Suspendisse potenti. Morbi eu mauris ante.

Aliquam ac leo feugiat, congue dui sed, aliquam dui. Morbi a ante lacus. Vivamus eleifend vel ipsum sit amet euismod. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In lacinia sapien et nibh aliquet vulputate. Aenean feugiat, elit id pellentesque tincidunt, ligula leo vestibulum neque, id dictum urna lorem vitae lectus. Ut dignissim vehicula dui non rhoncus. Aliquam erat volutpat. Suspendisse aliquet ullamcorper odio, eget sagittis nisi interdum in. Donec non vestibulum turpis, vel finibus ipsum. Duis tincidunt et velit at egestas.

Aliquam gravida sapien vitae sem accumsan, sed aliquet quam iaculis. Nunc ornare ante dignissim sapien molestie, vel elementum tellus egestas. Nam rutrum scelerisque nulla ut luctus. Nulla et urna quis massa suscipit venenatis id pretium elit. In molestie urna lorem, a placerat tortor vestibulum ut. Cras ut nisl sed odio vulputate dapibus ut ut lectus. Vestibulum varius, enim sed faucibus gravida, odio nunc dictum odio, non venenatis lectus libero ut urna. Nullam ornare sapien vel mi mollis, v",5,3,3,2
5,608313,12627,968742," non rhoncus. Aliquam erat volutpat. Suspendisse aliquet ullamcorper odio, eget sagittis nisi interdum in. Donec non vestibulum turpis, vel finibus ipsum. Duis tincidunt et velit at egestas.

Aliquam gravida sapien vitae sem accumsan, sed aliquet quam iaculis. Nunc ornare ante dignissim sapien molestie, vel elementum tellus egestas. Nam rutrum scelerisque nulla ut luctus. Nulla et urna qu",2,5,3,4
6,444643,10452,106084,"justo velit, eget rutrum arcu lobortis vitae. Aliquam augue orci, convallis at condimentum at, porta quis ante. Maecenas arcu neque, ornare sed scelerisque ac, faucibus condimentum dui. Nullam fermentum egestas neque id interdum. Aenean ut justo lectus. Proin at risus quis ligula aliquam blandit molestie nec leo. Nullam et scelerisque ante. Praesent eu ante non neque finibus porttitor. Suspendisse potenti. Morbi eu mauris ante.

Aliquam ac leo feugiat, congue dui sed, aliquam dui. Morbi a ante lacus. Vivamus eleifend vel ipsum sit amet euismod. Vestibulum ante ips",5,4,2,3
7,461373,23686,273237," consequat eleifend, magna quam mattis ipsum, consequat sollicitudin mi nisi vel ante. Integer lacus lorem, accumsan id odio ac",3,1,1,3
8,303465,23691,968742,"vallis at condimentum at, porta quis ante. Maecenas arcu neque, ornare sed scelerisque ac, faucibus condimentum dui. Nullam fermentum egestas neque id interdum. Aenean ut justo lectus. Proin at risus quis ligula aliquam blandit molestie nec leo. Nullam et scelerisque ante. Praesent eu ante non neque finibus porttitor. Susp",5,2,2,3
9,242160,19601,833213,"sum, ",2,2,2,4
10,818731,207206,396778,ibus id erat. ,3,3,1,5
11,707107,23135,5586,"re sed scelerisque ac, faucibus condimentum dui. Nullam fermentum egestas neque id interdum. Aenean ut justo lectus. Proin at risus quis ligula aliquam blandit molestie nec leo. Nullam et scelerisque ante. Praesent eu ante non neque finibus porttitor. Suspendisse potenti. Morbi eu mauris ante.

Aliquam ac leo feugiat, congue dui sed, aliquam dui. Morbi a ante lacus. Vivamus eleifend vel ipsum sit amet euismod. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In lacinia sapien et nibh aliquet vulputate. Aenean feugiat, elit id pellentesque tincidunt, ligula leo vestibulum neque, id dictum urna lorem vitae lectus. Ut dignissim vehicula dui non rhoncus. Aliquam erat ",5,2,4,3
12,562475,363057,881801," non sollicitudin. Duis maximus at ligula et congue. Maecenas pellentesque magna dolor, eu aliquet metus rhoncus eget. Donec blandit elementum justo, eget lacinia ligula finibus non. Nam sed turpis ligula. In blandit suscipit tellus, ut venenatis dui convallis a. Mauris vehicula finibus urna, sed tempus tellus tempor nec. Vivamus sagittis est nibh, non accumsan ligula dignissim ac.

Nulla sollicitudin lorem ac leo sagittis convallis. Suspendisse potenti. Morbi dui neque, interdum ut pulvinar ut, euismod at dolor. Sed eu eros elit. Integer at malesuada arcu. Aenean pulvinar odio dolor, vitae eleifend lorem tincidunt eget. Maecenas mauris nisl, gravida vel elit et, molestie ultrices sapien.

Curabitur et dolor nibh. Vivamus sit amet sollicitudin dolor, sed maximus tortor. Quisque semper justo velit, eget rutrum arcu lobortis vitae. Aliquam augue orci, convallis at condimentum at, porta quis ante. Maecenas arcu neque, ornare sed scelerisque ac, faucibus condimentum dui. Nullam fermentum egestas neque id interdum. Aenean ut justo lectus. Proin at risus quis ligula aliquam blandit molestie nec leo. Nullam et scelerisque ante. Praesent eu ante non neque finibus porttitor. Suspendisse potenti. Morbi eu mauris ante.

Aliquam ac leo feugiat, congue dui sed, aliquam dui. Morbi a ante lacus. Vivamus eleifend vel ipsum sit amet euismod. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In lacinia sapien et nibh aliquet vulputate. Aenean feugiat, elit id pellentesque tincidunt, ligula leo vestibulum neque, id dictum urna lorem vitae lectus. Ut dignissim vehicula dui non rhoncus. Aliquam erat volutpat. Suspendisse aliquet ullamcorper odio, eget sagittis nisi interdum in. Donec non vestibulum turpis, vel finibus ipsum. Duis tincidunt et velit at egestas.

Aliquam gravida sapien vitae sem accumsan, sed aliquet quam iaculis. Nunc ornare ante dignissim sapien molestie, vel elementum tellus egestas. Nam rutrum scelerisque nulla ut luctus. Nulla et urna quis massa suscipit venenatis id pretium elit. In molestie urna lorem, a placerat tortor vestibulum ut. Cras ut nisl sed odio vulputate dapibus ut ut lectus. Vestibulum varius, enim sed faucibus gravida, odio nunc dictum odio, non venenatis lectus libero ut urna. Nullam orn",4,4,1,5
13,994285,7750,23932,ui. Morbi a ante lacus. Vivamus eleifend vel ipsum sit amet euismod. Vestibulum ante ipsum primis in faucibus orci luct,4,3,3,1
14,352578,16338,633303,"landit. Sed vel mattis dolor. Duis mollis, nisi vitae venenatis luctus, lorem sem hendrerit neque, sed maximus justo mauris eget felis. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer hendrerit at turpis non sollicitudin. Duis maximus at ligula et congue. Maecenas pellentesque magna dolor, eu aliquet metus rhoncus eget. Donec blandit elementum justo, eget lacinia ligula finibus non. Nam sed turpis ligula. In blandit suscipit tellus, ut venenatis dui convallis a. Mauris vehicula finibus urna, sed tempus tellus tempor nec. Vivamus sagittis est nibh, non accumsan ligula dignissim ac.

Nulla sollicitudin lorem ac leo sagittis convallis. Suspendisse potenti. Morbi dui neque, interdum ut pulvinar ut, euismod at dolor. Sed eu eros elit. Integer at malesuada arcu. Aenean pulvinar odio dolor, vitae eleifend lorem tincidunt eget. Maecenas mauris nisl, gravida vel elit et, molestie ultrices sapien.

Curabitur et dolor nibh. Vivamus sit amet sollicitudin dolor, sed maximus tortor. Quisque semper justo velit, eget rutrum arcu lobortis vitae. Aliquam augue orci, convallis at condimentum at, porta quis ante. Maecenas arcu neque, ornare sed scelerisque ac, faucibus condimentum dui. Nullam fermentum egestas neque id interdum. Aenean ut justo lectus. Proin at risus quis ligula aliquam blandit molestie nec leo. Nullam et scelerisque ante. Praesent eu ante non neque finibus porttitor. Suspendisse potenti. Morbi eu mauris ante.

Aliquam ac leo feugiat, congue dui sed, aliquam dui. Morbi a ante lacus. Vivamus eleifend vel ipsum sit amet euismod. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In lacinia sapien et nibh aliquet vulputate. Aenean feugiat, elit id pellentesque tincidunt, ligula leo vestibulum neque, id dictum urna lorem vitae lectus. Ut dignissim vehicula dui non rhoncus. Aliquam erat volutpat. Suspendisse aliquet ullamcorper odio, eget sagittis nisi interdum in. Donec non vestibulum turpis, vel finibus ipsum. Duis tincidunt et velit at egestas.

Aliquam gravida sapien vitae s",5,2,3,1
15,875838,5803,46541,"at ligula et congue. Maecenas pellentesque magna dolor, eu aliquet metus rhoncus eget. Donec blandit elementum justo, eget lacinia ligula finibus non. Nam sed turpis ligula. In blandit suscipit tellus, ut venenatis dui convallis a. Mauris vehicula finibus urna, sed tempus tellus tempor nec. Vivamus sagittis est nibh, non accumsan ligula dignissim ac.

Nulla sollicitudin lorem ac leo sagittis convallis. Suspendisse potenti. Morbi dui neque, interdum ut pulvinar ut, euismod at dolor. Sed eu eros elit. Integer at malesuada arcu. Aenean pulvinar odio dolor, vitae eleifend lorem tincidunt eget. Maecenas mauris nisl, gravida vel elit et, molestie ultrices sapien.

Curabitur et dolor nibh. Vivamus sit amet sollicitudin dolor, sed maximus tortor. Quisque semper justo velit, eget rutrum arcu lobortis vitae. Aliquam augue orci, convallis at condimentum at, porta quis ante. Maecenas arcu neque, ornare sed scelerisque ac, faucibus condimentum dui. Nullam fermentum egestas neque id interdum. Aenean ut justo lectus. Proin at risus quis ligula aliquam blandit molestie nec leo. Nullam et scelerisque ante. Praesent eu ante non neque finibus porttitor. Suspendisse potenti. Morbi eu mauris ante.

Aliquam ac leo feugiat, congue dui sed, aliquam dui. Morbi a ante lacus. Vivamus eleifend vel ipsum sit amet euismod. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In lacinia sapien et nibh aliquet vulputate. Aenean feugiat, elit id pellentesque tincidunt, ligula leo vestibulum neque, id dictum urna lorem vitae lectus. Ut dignissim vehicula dui non rhoncus. Aliquam erat volutpat. Suspendisse aliquet ullamcorper odio, eget sagittis nisi interdum in. Donec non vestibulum turpis, vel finibus ipsum. Duis tincidunt et velit at egestas.

Aliquam gravida sapien vitae sem accumsan, sed aliquet quam iaculis. Nunc ornare ante dignissim sapien molestie, vel elementum tellus egestas. Nam rutrum scelerisque nulla ut luctus. Nulla et urna quis massa suscipit venenatis id pretium elit. In molestie urna lorem, a placerat tortor vestibulum ut. Cras ut nisl sed odio vulputate dapibus ut ut lectus. Vestibulum varius, enim sed faucibus gravida, odio nunc dictum odio, non venenatis lec",5,3,4,1
16,485299,179578,347338,"sim vehicula dui non rhoncus. Aliquam erat volutpat. Suspendisse aliquet ullamcorper odio, eget sagittis nisi interdum in. Donec non vestibulum turpis, vel finibus ipsum. Duis tincidunt et velit at egestas.

Aliquam gravida sapien vitae sem accumsan, sed aliquet quam iacul",3,3,2,5
17,857499,84151,799775,"e potenti. Morbi eu mauris ante.

Aliquam ac leo feugiat, congue dui sed, aliquam dui. Morbi a ante lacus. Vivamus eleifend vel ipsum sit amet euismod. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In lacinia sapien et nibh aliquet vulputate. Aenean feugiat, elit id pellentesque tincidunt, ligula leo vestibulum neque, id dictum urna lorem vitae lectus. Ut dignissim vehicula dui non rhoncus. Aliquam erat volutpat. Suspendisse aliquet ullamcorper odio, eget sagittis nisi interdum in. Donec non vestibulum turpis, vel finibus ipsum. Duis tincidunt et velit at egestas.

Aliquam gravida sapien vitae sem accumsan, sed aliquet quam iaculis. Nunc ornare ante dignissim sapien molestie, vel elementum tellus egestas. Nam rutrum scelerisque nulla ut luctus. Nulla et urna quis massa suscipit venenatis id pretium elit. In molestie urna lorem, a placerat tortor vestibulum ut. Cras ut nisl sed odio vulputate dapibus ut ut lectus. Vestibulum varius, enim sed faucibus gravida, odio nunc dictum odio, non venenatis lectus libero ut urna. Nullam ornare sapien vel mi mollis, vitae gravida erat interdum. Cras non rutrum erat, et congue tortor. Quisque urna sem, dapibus id viverra sed, dapibus id erat. Morbi vel neque ullamcorper nisi ultrices ullamcorper. Donec eget ipsum tincidunt, venenatis elit fringilla, vulputate enim. Suspendisse gravida, magna ut consequat eleifend, magna quam mattis ipsum, consequat sollicitudin mi nisi vel ante. Integer lacus lorem, accumsan ",1,4,5,5
18,641305,5441,87566,"lam fermentum egestas neque id interdum. Aenean ut justo lectus. Proin at risus quis ligula aliquam blandit molestie nec leo. Nullam et scelerisque ante. Praesent eu ante non neque finibus porttitor. Suspendisse potenti. Morbi eu mauris ante.

Aliquam ac leo feugiat, congue dui sed, aliquam dui. Morbi a ante lacus. Vivamus eleifend vel ipsum sit amet euismod. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In lacinia sapien et nibh aliquet vulputate. Aenean feugiat, elit id pellentesque tincidunt, ligula leo vestibulum neque, id dictum urna lorem vitae lectus. Ut dignissim vehicula dui non rhoncus. Aliquam erat volutpat. Suspendisse aliquet ullamcorper odio, eget sagittis nisi interdum in. Donec non vestibulum turpis, vel finibus ipsum. Duis tincidunt et velit at egestas.

Aliquam gravida sapien vitae sem accumsan, sed aliquet quam iaculis. Nunc ornare ante dignissim sapien molestie, vel elementum tellus egestas. Nam rutrum scelerisque nulla ut luctus. Nulla et urna quis massa suscipit venenatis id pretium elit. In molestie urna lorem, a placerat tortor vestibulum ut. Cras ut nisl sed odio vulputate dapibus ut ut lectus. Vestibulum varius, enim sed faucibus gravida, odio nunc dictum odio, non venenatis lectus libero ut urna. Nullam ornare sapien vel mi mollis, vitae gravida erat interdum. Cras non rutrum erat, et congue tortor. Quisque urna sem, dapibus id viverra sed, dapibus id erat. Morbi vel neque ullamcorper nisi ultrices ullamcorper. Donec eget ipsum tincidunt, venenatis elit fringilla, vulputate enim. Suspendisse gravida, magna ut consequat eleifend, magna quam m",2,3,3,3
19,876615,20717,253797,"is. Suspendisse potenti. Morbi dui neque, interdum ut pulvinar ut, euismod at dolor. Sed eu eros elit. Integer at malesuada arcu. Aenean pulvinar odio dolor, vitae eleifend lorem tincidunt eget. Maecenas mauris nisl, gravida vel elit et, molestie ultrices sapien.

Curabitur et dolor nibh. Vivamus sit amet sollicitudin dolor, sed maximus tortor. Quisque semper justo velit, eget rutrum arcu lobortis vitae. Aliquam augue orc",4,4,2,4
20,273941,5238,18982,"hendrerit neque, sed maximus justo mauris eget felis. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer hendrerit at turpis non sollicitudin. Duis maximus at ligula et congue. Maecenas pellentesque magna dolor, eu aliquet metus rhoncus eget. Donec blandit elementum justo, eget lacinia ligula finibus non. Nam sed turpis ligula. In blandit suscipit tellus, ut venenatis dui convallis a. Mauris vehicula finibus urna, sed tempus tellus tempor nec. Vivamus sagittis est nibh, non accumsan ligula dignissim ac.

Nulla sollicitudin lorem ac leo sagittis convallis. Suspendisse potenti. Morbi dui neque, interdum ut pulvinar ut, euismod at dolor. Sed eu eros elit. Integer at malesuada arcu. Aenean pulvinar odio dolor, vitae eleifend lorem tincidunt eget. Maecenas mauris nisl, gravida vel elit et, molestie ultrices sapien.

Curabitur et dolor nibh. Vivamus sit amet sollicitudin dolor, sed maximus tortor. Quisque semper ",5,4,3,2
21,684450,183522,511101,"dignissim sapien molestie, vel elementum tellus egestas. Nam rutrum scelerisque nulla ut luctus. Nulla et urna quis massa suscipit venenatis id pretium elit. In molestie urna lorem, a placerat tortor vestibulum ut. Cras ut nisl sed odio vulputate dapibus ut ut lectus. Vestib",5,2,3,2
22,708526,8024,735172,"s urna, sed tempus tellus tempor nec. Vivamus sagittis est nibh, non accumsan ligula dignissim ac.

Nulla sollicitudin lorem ac leo sagittis convallis. Suspendisse potenti. Morbi dui neque, interdum ut pulvinar ut, euismod at dolor. Sed eu eros elit. Integer at malesuada arcu. Aenean pulvinar odio dolor, vitae eleifend lorem tincidunt eget. Maecenas mauris nisl, gravida vel elit et, molestie ultrices sapien.

Curabitur et dolor nibh. Vivamus sit amet sollicitudin dolor, sed maximus tortor. Quisque semper justo velit, eget rutrum arcu lobortis vitae. Aliquam augue orci, convallis at condimentum at, porta quis ante. Maecenas arcu neque, ornare sed scelerisque ac, faucibus condimentum dui. Nullam fermentum egestas neque id interdum. Aenean ut justo lectus. Proin at risus quis ligula aliquam blandit molestie nec leo. Nullam et scelerisque ante. Praesent eu ante non neque finibus porttitor. Suspendisse potenti. Morbi eu mauris ante.

Aliquam ac leo feugiat, congue dui sed, aliquam dui. Morbi a ante lacus. Vivamus eleifend vel ipsum sit amet euismod. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In lacinia sapien et nibh aliquet vulputate. Aenean feugiat, elit id pellentesque tincidunt, ligula leo vestibulum neque, id dictum urna lorem vi",3,2,4,1
