id,listing_url,name,summary,space,description,city,state,country_code,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,weekly_price,monthly_price,HostId
2595,https://www.airbnb.com/rooms/2595,Skylit Midtown Castle,"Beautiful, spacious skylit studio in the heart of Midtown, Manhattan.  STUNNING SKYLIT STUDIO / 1 BED + SINGLE / FULL BATH / FULL KITCHEN / FIREPLACE / CENTRALLY LOCATED / WiFi + APPLE TV / SHEETS + TOWELS","- Spacious (500+ft²), immaculate and nicely furnished & designed studio. - Tuck yourself into the ultra comfortable bed under the skylight. Fall in love with a myriad of bright lights in the city night sky.  - Single-sized bed/convertible floor mattress with luxury bedding (available upon request). - Gorgeous pyramid skylight with amazing diffused natural light, stunning architectural details, soaring high vaulted ceilings, exposed brick, wood burning fireplace, floor seating area with natural zafu cushions, modern style mixed with eclectic art & antique treasures, large full bath, newly renovated kitchen, air conditioning/heat, high speed WiFi Internet, and Apple TV. - Centrally located in the heart of Midtown Manhattan just a few blocks from all subway connections in the very desirable Midtown location a few minutes walk to Times Square, the Theater District, Bryant Park and Herald Square. - The Midtown Castle is a uniquely charming Dutch Colonial survivor from the 1890s.  - This is ","Beautiful, spacious skylit studio in the heart of Midtown, Manhattan.  STUNNING SKYLIT STUDIO / 1 BED + SINGLE / FULL BATH / FULL KITCHEN / FIREPLACE / CENTRALLY LOCATED / WiFi + APPLE TV / SHEETS + TOWELS - Spacious (500+ft²), immaculate and nicely furnished & designed studio. - Tuck yourself into the ultra comfortable bed under the skylight. Fall in love with a myriad of bright lights in the city night sky.  - Single-sized bed/convertible floor mattress with luxury bedding (available upon request). - Gorgeous pyramid skylight with amazing diffused natural light, stunning architectural details, soaring high vaulted ceilings, exposed brick, wood burning fireplace, floor seating area with natural zafu cushions, modern style mixed with eclectic art & antique treasures, large full bath, newly renovated kitchen, air conditioning/heat, high speed WiFi Internet, and Apple TV. - Centrally located in the heart of Midtown Manhattan just a few blocks from all subway connections in the very desir",New York,NY,US,United States,Apartment,Entire home/apt,1,1.0,0.0,1.0,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout""}",$225.00,"$1,995.00",,513980
3831,https://www.airbnb.com/rooms/3831,Cozy Entire Floor of Brownstone,"Urban retreat: enjoy 500 s.f. floor in 1899 brownstone, with wood and ceramic flooring throughout (completed Aug. 2015 through Sept. 2015), roomy bdrm, & upgraded kitchen & bathroom (completed Oct. 2015).  It's sunny and loaded with everything you need!","Greetings!      We own a double-duplex brownstone in Clinton Hill on Gates near Classon Avenue -  (7 blocks to C train, 5 blocks to G train, minutes to all), in which we host on the entire top floor of the upper duplex.  This is more of an efficiency set-up: it is the top floor on a two-family, double duplex brownstone.  The top floor for our guests consists of a sizable bedroom, full bath and eat-in kitchen for your exclusive use.  Our family occupies the floors below.  You go through a common hallway and staircase, to get to the top floor (2 easy flights up from the main entrance), but not through any rooms, so it is a fairly private set-up. - Clinton Hill, Gates Avenue near Classon Ave. (1 mi. or less to Williamsburg, Park Slope, Prospect Heights, downtown, Ft. Greene, Bed-Stuy, Bushwick; 20 mins to Manhattan) - includes FiOS, heat (or A/C), hot water, and electricity all included - furnished with two twin beds (convertible into a king bed), one rollaway twin bed and one inflatable ","Urban retreat: enjoy 500 s.f. floor in 1899 brownstone, with wood and ceramic flooring throughout (completed Aug. 2015 through Sept. 2015), roomy bdrm, & upgraded kitchen & bathroom (completed Oct. 2015).  It's sunny and loaded with everything you need! Greetings!      We own a double-duplex brownstone in Clinton Hill on Gates near Classon Avenue -  (7 blocks to C train, 5 blocks to G train, minutes to all), in which we host on the entire top floor of the upper duplex.  This is more of an efficiency set-up: it is the top floor on a two-family, double duplex brownstone.  The top floor for our guests consists of a sizable bedroom, full bath and eat-in kitchen for your exclusive use.  Our family occupies the floors below.  You go through a common hallway and staircase, to get to the top floor (2 easy flights up from the main entrance), but not through any rooms, so it is a fairly private set-up. - Clinton Hill, Gates Avenue near Classon Ave. (1 mi. or less to Williamsburg, Park Slope, Pro",Brooklyn,NY,US,United States,Guest suite,Entire home/apt,3,1.0,1.0,4.0,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""High chair"",""Stair gates"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",$89.00,$575.00,"$2,100.00",532068
5099,https://www.airbnb.com/rooms/5099,Large Cozy 1 BR Apartment In Midtown East,"My large 1 bedroom apartment has a true New York City feel.  The apt is in midtown on the east side and centrally located, just a 10-minute walk from Grand Central Station, Empire State Building, Times Square. The kitchen and living room are large and bright with Apple TV. I have a new Queen Bed that sleeps 2 people, and a Queen Aero Bed that can sleep 2 people in the living room. The apartment is located on the 5th floor of a walk up - no elevator (lift).","I have a large 1 bedroom apartment centrally located in Midtown East.  A 10 minute walk from Grand Central Station, Times Square, Empire State Building and all major subway and bus lines. The apartment is located on the 5th floor of a pre-war walk up building-no elevator/lift.  The apartment is bright with has high ceilings and flow through rooms. A spacious, cozy living room with Netflix and Apple TV.  A large bright kitchen to sit and enjoy coffee or tea.  The bedroom is spacious with a comfortable queen size bed that sleeps 2.   I have a comfortable queen size aero bed that fits in the living room and sleeps 2. It can be tucked away for living space and opened when ready for bed. I'd be happy to give you tips and advice on the best ways to experience the most of  NYC. The apartment's location is great for sightseeing. ** Check out my listing guidebook **   If you would like to stay local in the area, there is a very long & famous strip of bars and restaurants along 3rd Avenue, which","My large 1 bedroom apartment has a true New York City feel.  The apt is in midtown on the east side and centrally located, just a 10-minute walk from Grand Central Station, Empire State Building, Times Square. The kitchen and living room are large and bright with Apple TV. I have a new Queen Bed that sleeps 2 people, and a Queen Aero Bed that can sleep 2 people in the living room. The apartment is located on the 5th floor of a walk up - no elevator (lift). I have a large 1 bedroom apartment centrally located in Midtown East.  A 10 minute walk from Grand Central Station, Times Square, Empire State Building and all major subway and bus lines. The apartment is located on the 5th floor of a pre-war walk up building-no elevator/lift.  The apartment is bright with has high ceilings and flow through rooms. A spacious, cozy living room with Netflix and Apple TV.  A large bright kitchen to sit and enjoy coffee or tea.  The bedroom is spacious with a comfortable queen size bed that sleeps 2.   I",New York,NY,US,United States,Apartment,Entire home/apt,2,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}",$200.00,,,397597
5121,https://www.airbnb.com/rooms/5121,BlissArtsSpace!,,"HELLO EVERYONE AND THANKS FOR VISITING BLISS ART SPACE!  Thank you all for your support. I've traveled a lot in the last year few years, to the  U.K. Germany, Italy and France! Loved Paris, Berlin and Calabria! Highly recommend all these places.  One room available for rent in a 2 bedroom apt in Bklyn. We share a common space with kitchen. I am an artist(painter, filmmaker) and curator who is working in the film industry while I'm building my art event production businesses. Price above is nightly for one person. Monthly rates available.  Price is $900 per month for one person. Utilities not included, they are about 50 bucks, payable when the bill arrives mid month.   Couples rates are slightly more for monthly and 90$ per night short term. If you are a couple please Iet me know and I’ll give you the monthly rate for that. Room rental is on a temporary basis, perfect from 2- 6 months - no long term requests please! At the moment I AM ONLY TAKING BOOKINGS OF AT LEAST ONE OR ONE AND A HA","HELLO EVERYONE AND THANKS FOR VISITING BLISS ART SPACE!  Thank you all for your support. I've traveled a lot in the last year few years, to the  U.K. Germany, Italy and France! Loved Paris, Berlin and Calabria! Highly recommend all these places.  One room available for rent in a 2 bedroom apt in Bklyn. We share a common space with kitchen. I am an artist(painter, filmmaker) and curator who is working in the film industry while I'm building my art event production businesses. Price above is nightly for one person. Monthly rates available.  Price is $900 per month for one person. Utilities not included, they are about 50 bucks, payable when the bill arrives mid month.   Couples rates are slightly more for monthly and 90$ per night short term. If you are a couple please Iet me know and I’ll give you the monthly rate for that. Room rental is on a temporary basis, perfect from 2- 6 months - no long term requests please! At the moment I AM ONLY TAKING BOOKINGS OF AT LEAST ONE OR ONE AND A HA",Brooklyn,NY,US,United States,Apartment,Private room,2,,1.0,1.0,"{Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),Heating}",$60.00,,,749398
5178,https://www.airbnb.com/rooms/5178,Large Furnished Room Near B'way ,Please don’t expect the luxury here just a basic room in the center of Manhattan.,"You will use one large, furnished, private room of a two-bedroom apartment and share a bathroom with the host.   The apartment is located a few blocks away from Central Park between 8th and 9th Avenue. The closest subway station is Columbus Circle 59th Street.  Great restaurants, Broadway and all transportation are easily accessible.  The cost of the room is $79 per night.  Weekly rate is available. There is a $12.00 fee per guest.  The apartment also features hardwood floors and a second-floor walk-up.  There is a full-sized bed,TV, microwave, and a small refrigerator as well as other appliances.   Wired internet, WIFI, TV, electric heat, bed sheets and towels are included.  A kitchen is available in the living room. You can come in any time except midnight.   Basic check in/out time is 12pm. I am flexible on the schedule so please ask.  Please nore that the living room is a private place for the host. Also, because the place is close to the street, there is some traffic noise from ou","Please don’t expect the luxury here just a basic room in the center of Manhattan. You will use one large, furnished, private room of a two-bedroom apartment and share a bathroom with the host.   The apartment is located a few blocks away from Central Park between 8th and 9th Avenue. The closest subway station is Columbus Circle 59th Street.  Great restaurants, Broadway and all transportation are easily accessible.  The cost of the room is $79 per night.  Weekly rate is available. There is a $12.00 fee per guest.  The apartment also features hardwood floors and a second-floor walk-up.  There is a full-sized bed,TV, microwave, and a small refrigerator as well as other appliances.   Wired internet, WIFI, TV, electric heat, bed sheets and towels are included.  A kitchen is available in the living room. You can come in any time except midnight.   Basic check in/out time is 12pm. I am flexible on the schedule so please ask.  Please nore that the living room is a private place for the host. A",New York,NY,US,United States,Apartment,Private room,2,1.0,1.0,1.0,"{TV,Wifi,""Air conditioning"",""Paid parking off premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Luggage dropoff allowed""}",$79.00,$470.00,,218533
5203,https://www.airbnb.com/rooms/5203,Cozy Clean Guest Room - Family Apt,"Our best guests are seeking a safe, clean, spare room in a family apartment.  They are comfortable being independent, accommodating of family noise (quiet hours 11pm-7am), and aren't afraid of a friendly two year old golden lab (dog).  Our guests aren't put off by an old bathroom that while perfectly clean, has some peeling paint.  In short, our guests want to feel like they are staying at their sister's apartment while visiting the city! (only their sister changed the sheets and cleaned).","Stay in my family's little  guest room and enjoy privacy, a warm welcome, and security.  Your guest room is comfortable and clean.   It is small but well outfitted, has a single bed and a fabulous mattress which is firm and yet pillowy on top, all at the same time. The bathroom is shared and immediately across the hall. (""Shared"" in the sense it isn't ""en suite."" The family will use our second bath while you are staying with us). The bathroom is fully supplied with shampoo, conditioner, scrub, soap, towels. There is a window air conditioner in summer, ceiling fan, abundant pre-war construction apartment heat.  No smoking. I leave out a simple self serve breakfast: granola, yogurt, fruit.  We may chat with you over coffee, or perhaps you'll hit us on a busy day when we are already out and have left the coffee for you to serve yourself. Coffee or tea are available anytime.  When you respond tell us a little bit about yourself, the purpose of your visit, and persuade us that you'd be a su","Our best guests are seeking a safe, clean, spare room in a family apartment.  They are comfortable being independent, accommodating of family noise (quiet hours 11pm-7am), and aren't afraid of a friendly two year old golden lab (dog).  Our guests aren't put off by an old bathroom that while perfectly clean, has some peeling paint.  In short, our guests want to feel like they are staying at their sister's apartment while visiting the city! (only their sister changed the sheets and cleaned). Stay in my family's little  guest room and enjoy privacy, a warm welcome, and security.  Your guest room is comfortable and clean.   It is small but well outfitted, has a single bed and a fabulous mattress which is firm and yet pillowy on top, all at the same time. The bathroom is shared and immediately across the hall. (""Shared"" in the sense it isn't ""en suite."" The family will use our second bath while you are staying with us). The bathroom is fully supplied with shampoo, conditioner, scrub, soap, ",New York,NY,US,United States,Apartment,Private room,1,1.0,1.0,1.0,"{Internet,Wifi,""Air conditioning"",""Paid parking off premises"",Doorman,Breakfast,""Pets live on this property"",Dog(s),Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}",$79.00,,,767164
5238,https://www.airbnb.com/rooms/5238,Cute & Cozy Lower East Side 1 bdrm,"Live like a New Yorker instead of a stuffy, tiny, overpriced hotel. My small yet cozy one bedroom apartment is nestled in the southern part of the historic lower east side, steps to the subway and walking distance to the coolest neighborhoods.","PLEASE NOTE: do not automatically book with out messaging me first. Thanks! My apartment is a cute, cozy, 1 bdrm apt in the Lower East Side (LES) adjacent to Chinatown in lower Manhattan, steps to F train, East Broadway stop and very close to Canal/Delancey streets where many hip bars, restaurants and shops are in the LES. Apt is clean, has a fully equipped kitchen, cable TV, A/C, heat, and wireless internet. Apt is located on 2nd floor of well maintained walk up building. Walking distance to Soho, East Village, Little Italy, Chinatown and very close to Dumbo and Williamsburg, Brooklyn. You have place to yourself-better than a hotel!  Prices listed are for up to two people only. Possible to accommodate a 3rd (for extra charge), but ideal for two.   Nighty rate: $125 - $150 a night for up to two people depending on time of year. $10 extra per person after 2 people.  As of now, I prefer booking for minimum 7 days and more. Might make an exception to fill in time slots, so inquire anyway.","Live like a New Yorker instead of a stuffy, tiny, overpriced hotel. My small yet cozy one bedroom apartment is nestled in the southern part of the historic lower east side, steps to the subway and walking distance to the coolest neighborhoods. PLEASE NOTE: do not automatically book with out messaging me first. Thanks! My apartment is a cute, cozy, 1 bdrm apt in the Lower East Side (LES) adjacent to Chinatown in lower Manhattan, steps to F train, East Broadway stop and very close to Canal/Delancey streets where many hip bars, restaurants and shops are in the LES. Apt is clean, has a fully equipped kitchen, cable TV, A/C, heat, and wireless internet. Apt is located on 2nd floor of well maintained walk up building. Walking distance to Soho, East Village, Little Italy, Chinatown and very close to Dumbo and Williamsburg, Brooklyn. You have place to yourself-better than a hotel!  Prices listed are for up to two people only. Possible to accommodate a 3rd (for extra charge), but ideal for two.",New York,NY,US,United States,Apartment,Entire home/apt,3,1.0,1.0,2.0,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}",$150.00,,,183586
5441,https://www.airbnb.com/rooms/5441,Central Manhattan/near Broadway,"Convenient Midtown Manhattan location a block from the subways and theaters and accessible by public transportation to all regional airports. The small 5th floor walk-up in a tenement building is  most suitable for backpackers, single travelers and conference goers. I rent the small bedroom which has a double bed (not queen or king) and a closet. We share the bathroom and I stay in the front of the apartment which has a sliding door.","The apartment is located on the 5th floor of a walk-up building. There is no elevator. The guest room is small but quiet, with air conditioning and wi-fi. The bathroom is next to the guest bedroom.","Convenient Midtown Manhattan location a block from the subways and theaters and accessible by public transportation to all regional airports. The small 5th floor walk-up in a tenement building is  most suitable for backpackers, single travelers and conference goers. I rent the small bedroom which has a double bed (not queen or king) and a closet. We share the bathroom and I stay in the front of the apartment which has a sliding door. The apartment is located on the 5th floor of a walk-up building. There is no elevator. The guest room is small but quiet, with air conditioning and wi-fi. The bathroom is next to the guest bedroom. I rent just the small bedroom with kitchen use at breakfast from 7am to 10:30am. I leave some space in the refrigerator if you have snacks. I am often available to orient guests and to give advise on how to get around town by subway and bus. The neighborhood is busy with restaurants staying open late due to its proximity to the Broadway theaters. The closest sub",New York,NY,US,United States,Apartment,Private room,2,1.0,1.0,1.0,"{Internet,Wifi,""Air conditioning"",Breakfast,""Buzzer/wireless intercom"",Heating,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""Host greets you""}",$99.00,,,139811
5803,https://www.airbnb.com/rooms/5803,"Lovely Room 1, Garden, Best Area, Legal rental","Beautiful house, gorgeous garden, patio, cozy room, and helpful host!   Super safe and quiet in beautiful, vibrant Park Slope!   Please read,  then WRITE to me about your  trip, and needs.  Please do NOT request reservation until I reply ""yes "".   I want to be sure it's right for you! Close to great restaurants, culture, Prospect Park.   3 minutes walk to 3 subway lines, 20 mins to Manhattan. LEGAL rental -- per NY laws.   Six gyms nearby.","Welcome to an historic, stunning 4-story Brooklyn house, in super safe, quiet and friendly Park Slope.   140 year old house filled with light, color, artwork.  Large beautiful garden and patio.  Legal rental.   Three excellent SUBWAY LINES (R, F, G)   2 minutes walk, 20 mins to Manhattan.  Please write to me with your details;   Wait til I reply ""yes"" before requesting room. Discounts available for longer stay. Historic house with charming details, not ""modern"";  some quirks like creaky stairs.  Perfect for casual, flexible, busy travelers.  The main floor is my office; I  work here.   Help yourself to yummy breakfast foods and enjoy the lovely patio and garden!    Upstairs:   2  cozy rooms,  medium size,  closets.   1 room --   King bed, excellent mattress ,  or can be made 2 twins.  1 room --  Queen,  excellent mattress - Air conditioning & Fans; - Good WiFi ;   sorry, no TV; - Large garden, patio - Lovely  towels & linens, hairdryer, soaps, lotions, sun block, iron; everything! - I ","Beautiful house, gorgeous garden, patio, cozy room, and helpful host!   Super safe and quiet in beautiful, vibrant Park Slope!   Please read,  then WRITE to me about your  trip, and needs.  Please do NOT request reservation until I reply ""yes "".   I want to be sure it's right for you! Close to great restaurants, culture, Prospect Park.   3 minutes walk to 3 subway lines, 20 mins to Manhattan. LEGAL rental -- per NY laws.   Six gyms nearby. Welcome to an historic, stunning 4-story Brooklyn house, in super safe, quiet and friendly Park Slope.   140 year old house filled with light, color, artwork.  Large beautiful garden and patio.  Legal rental.   Three excellent SUBWAY LINES (R, F, G)   2 minutes walk, 20 mins to Manhattan.  Please write to me with your details;   Wait til I reply ""yes"" before requesting room. Discounts available for longer stay. Historic house with charming details, not ""modern"";  some quirks like creaky stairs.  Perfect for casual, flexible, busy travelers.  The main",Brooklyn,NY,US,United States,Townhouse,Private room,2,1.5,1.0,0.0,"{Internet,Wifi,""Air conditioning"",""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Coffee maker"",""Patio or balcony"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed""}",$89.00,,,901880
6021,https://www.airbnb.com/rooms/6021,Wonderful Guest Bedroom in Manhattan CENTRAL PARK,"This is a wonderful pre-war apartment full of charm and close to subway, restaurants, markets, pharmacies, museums and 15 minutes to Times Square. It is somewhat noisy but nothing that earplugs won't resolve. The room faces Central Park West and the Park with beautiful morning sun, please see photos. This is a 2-bedroom apartment, 1 bathroom shared with the owner. The price listed is for SINGLES - there is a $20.00 upcharge per day for 2 people. I DO NOT host 3 people or more.","GUEST BEDROOM on Central Park West.  Beautiful and safe location overlooking Central Park.  2 minutes from the C and B trains, 4 blocks from Broadway and trains 1 and 9 on the Upper West Side of Manhattan, near Columbia University.  The room is sunny with a Full-size bed...shared bathroom with owner and the kitchen can be used for breakfast – NO COOKING. Clean environment, air conditioning and a nicely decorated room with cable TV, wireless and fresh linens provided.  This is a 2-bedroom apartment shared with owner. $85.00/night – SINGLE - $105.00/ night 2 PEOPLE December & Holidays the rates are higher. - NO SMOKING (no exceptions) - NO PETS (no exceptions) - 2-NIGHT MINIMUM STAY (no exceptions) - NO CHILDREN (no exceptions) - 11:00 noon CHECK-OUT TIME - 2:00 pm CHECK-IN TIME It's a GEM on the Upper West Side. NOTES:  - Payments made through AirBnB - Prices are guaranteed after booking. - No washer/dryer. There are laundry facilities close by.","This is a wonderful pre-war apartment full of charm and close to subway, restaurants, markets, pharmacies, museums and 15 minutes to Times Square. It is somewhat noisy but nothing that earplugs won't resolve. The room faces Central Park West and the Park with beautiful morning sun, please see photos. This is a 2-bedroom apartment, 1 bathroom shared with the owner. The price listed is for SINGLES - there is a $20.00 upcharge per day for 2 people. I DO NOT host 3 people or more. GUEST BEDROOM on Central Park West.  Beautiful and safe location overlooking Central Park.  2 minutes from the C and B trains, 4 blocks from Broadway and trains 1 and 9 on the Upper West Side of Manhattan, near Columbia University.  The room is sunny with a Full-size bed...shared bathroom with owner and the kitchen can be used for breakfast – NO COOKING. Clean environment, air conditioning and a nicely decorated room with cable TV, wireless and fresh linens provided.  This is a 2-bedroom apartment shared with own",New York,NY,US,United States,Apartment,Private room,1,1.0,1.0,1.0,"{TV,Internet,Wifi,""Air conditioning"",""Paid parking off premises"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",""Hair dryer"",""Private entrance"",""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",""Host greets you""}",$85.00,,,211868
