,PropertyId,HostId,BranchId,Title,Description,NumGuests,NumBedrooms,NumBeds,NumBaths,Price
0,2595,513980,788749,Skylit Midtown Castle,"Beautiful, spacious skylit studio in the heart of Midtown, Manhattan.  STUNNING SKYLIT STUDIO / 1 BED + SINGLE / FULL BATH / FULL KITCHEN / FIREPLACE / CENTRALLY LOCATED / WiFi + APPLE TV / SHEETS + TOWELS - Spacious (500+ft²), immaculate and nicely furnished & designed studio. - Tuck yourself into the ultra comfortable bed under the skylight. Fall in love with a myriad of bright lights in the city night sky.  - Single-sized bed/convertible floor mattress with luxury bedding (available upon request). - Gorgeous pyramid skylight with amazing diffused natural light, stunning architectural details, soaring high vaulted ceilings, exposed brick, wood burning fireplace, floor seating area with natural zafu cushions, modern style mixed with eclectic art & antique treasures, large full bath, newly renovated kitchen, air conditioning/heat, high speed WiFi Internet, and Apple TV. - Centrally located in the heart of Midtown Manhattan just a few blocks from all subway connections in the very desir",1,0,1,1,585
1,3831,532068,513896,Cozy Entire Floor of Brownstone,"Urban retreat: enjoy 500 s.f. floor in 1899 brownstone, with wood and ceramic flooring throughout (completed Aug. 2015 through Sept. 2015), roomy bdrm, & upgraded kitchen & bathroom (completed Oct. 2015).  It's sunny and loaded with everything you need! Greetings!      We own a double-duplex brownstone in Clinton Hill on Gates near Classon Avenue -  (7 blocks to C train, 5 blocks to G train, minutes to all), in which we host on the entire top floor of the upper duplex.  This is more of an efficiency set-up: it is the top floor on a two-family, double duplex brownstone.  The top floor for our guests consists of a sizable bedroom, full bath and eat-in kitchen for your exclusive use.  Our family occupies the floors below.  You go through a common hallway and staircase, to get to the top floor (2 easy flights up from the main entrance), but not through any rooms, so it is a fairly private set-up. - Clinton Hill, Gates Avenue near Classon Ave. (1 mi. or less to Williamsburg, Park Slope, Pro",3,1,4,4,658
2,5099,397597,513896,Large Cozy 1 BR Apartment In Midtown East,"My large 1 bedroom apartment has a true New York City feel.  The apt is in midtown on the east side and centrally located, just a 10-minute walk from Grand Central Station, Empire State Building, Times Square. The kitchen and living room are large and bright with Apple TV. I have a new Queen Bed that sleeps 2 people, and a Queen Aero Bed that can sleep 2 people in the living room. The apartment is located on the 5th floor of a walk up - no elevator (lift). I have a large 1 bedroom apartment centrally located in Midtown East.  A 10 minute walk from Grand Central Station, Times Square, Empire State Building and all major subway and bus lines. The apartment is located on the 5th floor of a pre-war walk up building-no elevator/lift.  The apartment is bright with has high ceilings and flow through rooms. A spacious, cozy living room with Netflix and Apple TV.  A large bright kitchen to sit and enjoy coffee or tea.  The bedroom is spacious with a comfortable queen size bed that sleeps 2.   I",2,1,1,1,417
3,5121,749398,513896,BlissArtsSpace!,"HELLO EVERYONE AND THANKS FOR VISITING BLISS ART SPACE!  Thank you all for your support. I've traveled a lot in the last year few years, to the  U.K. Germany, Italy and France! Loved Paris, Berlin and Calabria! Highly recommend all these places.  One room available for rent in a 2 bedroom apt in Bklyn. We share a common space with kitchen. I am an artist(painter, filmmaker) and curator who is working in the film industry while I'm building my art event production businesses. Price above is nightly for one person. Monthly rates available.  Price is $900 per month for one person. Utilities not included, they are about 50 bucks, payable when the bill arrives mid month.   Couples rates are slightly more for monthly and 90$ per night short term. If you are a couple please Iet me know and I’ll give you the monthly rate for that. Room rental is on a temporary basis, perfect from 2- 6 months - no long term requests please! At the moment I AM ONLY TAKING BOOKINGS OF AT LEAST ONE OR ONE AND A HA",2,1,1,1,827
4,5178,218533,788749,Large Furnished Room Near B'way ,"Please don’t expect the luxury here just a basic room in the center of Manhattan. You will use one large, furnished, private room of a two-bedroom apartment and share a bathroom with the host.   The apartment is located a few blocks away from Central Park between 8th and 9th Avenue. The closest subway station is Columbus Circle 59th Street.  Great restaurants, Broadway and all transportation are easily accessible.  The cost of the room is $79 per night.  Weekly rate is available. There is a $12.00 fee per guest.  The apartment also features hardwood floors and a second-floor walk-up.  There is a full-sized bed,TV, microwave, and a small refrigerator as well as other appliances.   Wired internet, WIFI, TV, electric heat, bed sheets and towels are included.  A kitchen is available in the living room. You can come in any time except midnight.   Basic check in/out time is 12pm. I am flexible on the schedule so please ask.  Please nore that the living room is a private place for the host. A",2,1,1,1,924
5,5203,767164,513896,Cozy Clean Guest Room - Family Apt,"Our best guests are seeking a safe, clean, spare room in a family apartment.  They are comfortable being independent, accommodating of family noise (quiet hours 11pm-7am), and aren't afraid of a friendly two year old golden lab (dog).  Our guests aren't put off by an old bathroom that while perfectly clean, has some peeling paint.  In short, our guests want to feel like they are staying at their sister's apartment while visiting the city! (only their sister changed the sheets and cleaned). Stay in my family's little  guest room and enjoy privacy, a warm welcome, and security.  Your guest room is comfortable and clean.   It is small but well outfitted, has a single bed and a fabulous mattress which is firm and yet pillowy on top, all at the same time. The bathroom is shared and immediately across the hall. (""Shared"" in the sense it isn't ""en suite."" The family will use our second bath while you are staying with us). The bathroom is fully supplied with shampoo, conditioner, scrub, soap, ",1,1,1,1,673
6,5238,183586,513896,Cute & Cozy Lower East Side 1 bdrm,"Live like a New Yorker instead of a stuffy, tiny, overpriced hotel. My small yet cozy one bedroom apartment is nestled in the southern part of the historic lower east side, steps to the subway and walking distance to the coolest neighborhoods. PLEASE NOTE: do not automatically book with out messaging me first. Thanks! My apartment is a cute, cozy, 1 bdrm apt in the Lower East Side (LES) adjacent to Chinatown in lower Manhattan, steps to F train, East Broadway stop and very close to Canal/Delancey streets where many hip bars, restaurants and shops are in the LES. Apt is clean, has a fully equipped kitchen, cable TV, A/C, heat, and wireless internet. Apt is located on 2nd floor of well maintained walk up building. Walking distance to Soho, East Village, Little Italy, Chinatown and very close to Dumbo and Williamsburg, Brooklyn. You have place to yourself-better than a hotel!  Prices listed are for up to two people only. Possible to accommodate a 3rd (for extra charge), but ideal for two.",3,1,2,2,818
7,5441,139811,788749,Central Manhattan/near Broadway,"Convenient Midtown Manhattan location a block from the subways and theaters and accessible by public transportation to all regional airports. The small 5th floor walk-up in a tenement building is  most suitable for backpackers, single travelers and conference goers. I rent the small bedroom which has a double bed (not queen or king) and a closet. We share the bathroom and I stay in the front of the apartment which has a sliding door. The apartment is located on the 5th floor of a walk-up building. There is no elevator. The guest room is small but quiet, with air conditioning and wi-fi. The bathroom is next to the guest bedroom. I rent just the small bedroom with kitchen use at breakfast from 7am to 10:30am. I leave some space in the refrigerator if you have snacks. I am often available to orient guests and to give advise on how to get around town by subway and bus. The neighborhood is busy with restaurants staying open late due to its proximity to the Broadway theaters. The closest sub",2,1,1,1,987
8,5803,901880,513896,"Lovely Room 1, Garden, Best Area, Legal rental","Beautiful house, gorgeous garden, patio, cozy room, and helpful host!   Super safe and quiet in beautiful, vibrant Park Slope!   Please read,  then WRITE to me about your  trip, and needs.  Please do NOT request reservation until I reply ""yes "".   I want to be sure it's right for you! Close to great restaurants, culture, Prospect Park.   3 minutes walk to 3 subway lines, 20 mins to Manhattan. LEGAL rental -- per NY laws.   Six gyms nearby. Welcome to an historic, stunning 4-story Brooklyn house, in super safe, quiet and friendly Park Slope.   140 year old house filled with light, color, artwork.  Large beautiful garden and patio.  Legal rental.   Three excellent SUBWAY LINES (R, F, G)   2 minutes walk, 20 mins to Manhattan.  Please write to me with your details;   Wait til I reply ""yes"" before requesting room. Discounts available for longer stay. Historic house with charming details, not ""modern"";  some quirks like creaky stairs.  Perfect for casual, flexible, busy travelers.  The main",2,1,0,0,337
9,6021,211868,513896,Wonderful Guest Bedroom in Manhattan CENTRAL PARK,"This is a wonderful pre-war apartment full of charm and close to subway, restaurants, markets, pharmacies, museums and 15 minutes to Times Square. It is somewhat noisy but nothing that earplugs won't resolve. The room faces Central Park West and the Park with beautiful morning sun, please see photos. This is a 2-bedroom apartment, 1 bathroom shared with the owner. The price listed is for SINGLES - there is a $20.00 upcharge per day for 2 people. I DO NOT host 3 people or more. GUEST BEDROOM on Central Park West.  Beautiful and safe location overlooking Central Park.  2 minutes from the C and B trains, 4 blocks from Broadway and trains 1 and 9 on the Upper West Side of Manhattan, near Columbia University.  The room is sunny with a Full-size bed...shared bathroom with owner and the kitchen can be used for breakfast – NO COOKING. Clean environment, air conditioning and a nicely decorated room with cable TV, wireless and fresh linens provided.  This is a 2-bedroom apartment shared with own",1,1,1,1,458
10,6090,290993,513896,West Village Nest - Superhost,"Freshly painted, bright open space! Excellent West Village Location - Bleecker Street and Perry Street in the heart of the West Village, a historic and chic neighborhood in Manhattan with many 19th century townhouses. Excellent West Village Location - Bleecker Street and Perry Street in the heart of the West Village, a historic and chic neighborhood in Manhattan with many 19th century townhouses. Around every corner you will find brownstones, stoops, cobblestone and tree lined streets Plus endless restaurant & shopping choices.    The apartment has many original details and is located in a historic pre-war apartment building on one of the prettiest street corners in lower Manhattan. Details:  * Large windows provide beautiful natural light and views of the charming neighborhood  * Hardwood floors and vintage style tile * Decorative fireplace with mantel * Renovated Kitchen with full refrigerator, stove, microwave and dishwasher  * Spacious open floor plan and high ceilings * Queen size",1,1,1,1,642
