,AmenityName,PropertyId
0,TV,2595
1,Wifi,2595
2,Air conditioning,2595
3,Kitchen,2595
4,Paid parking off premises,2595
5,Free street parking,2595
6,Heating,2595
7,Family/kid friendly,2595
8,Smoke detector,2595
9,Carbon monoxide detector,2595
10,Fire extinguisher,2595
11,Essentials,2595
12,Lock on bedroom door,2595
13,Hair dryer,2595
14,Iron,2595
15,Laptop friendly workspace,2595
16,Self check-in,2595
17,Keypad,2595
18,Private living room,2595
19,Bathtub,2595
20,Hot water,2595
21,Bed linens,2595
22,Extra pillows and blankets,2595
23,Ethernet connection,2595
24,Coffee maker,2595
25,Refrigerator,2595
26,Dishes and silverware,2595
27,Cooking basics,2595
28,Oven,2595
29,Stove,2595
30,Luggage dropoff allowed,2595
31,Long term stays allowed,2595
32,Cleaning before checkout,2595
33,TV,3831
34,Cable TV,3831
35,Internet,3831
36,Wifi,3831
37,Air conditioning,3831
38,Kitchen,3831
39,Pets allowed,3831
40,Free street parking,3831
41,Heating,3831
42,Family/kid friendly,3831
43,Smoke detector,3831
44,Carbon monoxide detector,3831
45,Fire extinguisher,3831
46,Essentials,3831
47,Shampoo,3831
48,Lock on bedroom door,3831
49,24-hour check-in,3831
50,Hangers,3831
51,Hair dryer,3831
52,Iron,3831
53,Laptop friendly workspace,3831
54,Self check-in,3831
55,Lockbox,3831
56,Bathtub,3831
57,High chair,3831
58,Stair gates,3831
59,Children’s books and toys,3831
60,Pack ’n Play/travel crib,3831
61,Hot water,3831
62,Microwave,3831
63,Coffee maker,3831
64,Refrigerator,3831
65,Dishes and silverware,3831
66,Cooking basics,3831
67,Oven,3831
68,Stove,3831
69,Luggage dropoff allowed,3831
70,Long term stays allowed,3831
71,TV,5099
72,Cable TV,5099
73,Internet,5099
74,Wifi,5099
75,Air conditioning,5099
76,Kitchen,5099
77,Buzzer/wireless intercom,5099
78,Heating,5099
79,Smoke detector,5099
80,Carbon monoxide detector,5099
81,First aid kit,5099
82,Fire extinguisher,5099
83,Essentials,5099
84,Shampoo,5099
85,Hangers,5099
86,Hair dryer,5099
87,Iron,5099
88,Laptop friendly workspace,5099
89,translation missing: en.hosting_amenity_49,5099
90,translation missing: en.hosting_amenity_50,5099
91,Bathtub,5099
92,Hot water,5099
93,Bed linens,5099
94,Extra pillows and blankets,5099
95,Microwave,5099
96,Coffee maker,5099
97,Refrigerator,5099
98,Dishes and silverware,5099
99,Cooking basics,5099
100,Oven,5099
101,Stove,5099
102,Host greets you,5099
103,Wifi,5121
104,Air conditioning,5121
105,Kitchen,5121
106,Pets live on this property,5121
107,Cat(s),5121
108,Heating,5121
109,TV,5178
110,Wifi,5178
111,Air conditioning,5178
112,Paid parking off premises,5178
113,Free street parking,5178
114,Heating,5178
115,Family/kid friendly,5178
116,Smoke detector,5178
117,Essentials,5178
118,Shampoo,5178
119,Lock on bedroom door,5178
120,Hangers,5178
121,Hair dryer,5178
122,Iron,5178
123,translation missing: en.hosting_amenity_50,5178
124,Bed linens,5178
125,Extra pillows and blankets,5178
126,Microwave,5178
127,Refrigerator,5178
128,Luggage dropoff allowed,5178
129,Internet,5203
130,Wifi,5203
131,Air conditioning,5203
132,Paid parking off premises,5203
133,Doorman,5203
134,Breakfast,5203
135,Pets live on this property,5203
136,Dog(s),5203
137,Elevator,5203
138,Free street parking,5203
139,Buzzer/wireless intercom,5203
140,Heating,5203
141,Smoke detector,5203
142,Carbon monoxide detector,5203
143,Fire extinguisher,5203
144,Essentials,5203
145,Shampoo,5203
146,Hair dryer,5203
147,Laptop friendly workspace,5203
148,translation missing: en.hosting_amenity_49,5203
149,translation missing: en.hosting_amenity_50,5203
150,Hot water,5203
151,Host greets you,5203
152,TV,5238
153,Cable TV,5238
154,Wifi,5238
155,Air conditioning,5238
156,Kitchen,5238
157,Free street parking,5238
158,Buzzer/wireless intercom,5238
159,Heating,5238
160,Smoke detector,5238
161,Carbon monoxide detector,5238
162,Fire extinguisher,5238
163,Essentials,5238
164,Shampoo,5238
165,24-hour check-in,5238
166,Hangers,5238
167,Hair dryer,5238
168,Iron,5238
169,Laptop friendly workspace,5238
170,Hot water,5238
171,Microwave,5238
172,Coffee maker,5238
173,Refrigerator,5238
174,Dishes and silverware,5238
175,Cooking basics,5238
176,Oven,5238
177,Stove,5238
178,Host greets you,5238
179,Internet,5441
180,Wifi,5441
181,Air conditioning,5441
182,Breakfast,5441
183,Buzzer/wireless intercom,5441
184,Heating,5441
185,Essentials,5441
186,Shampoo,5441
187,Hangers,5441
188,Hair dryer,5441
189,Iron,5441
190,translation missing: en.hosting_amenity_49,5441
191,translation missing: en.hosting_amenity_50,5441
192,Hot water,5441
193,Bed linens,5441
194,Extra pillows and blankets,5441
195,Coffee maker,5441
196,Refrigerator,5441
197,Dishes and silverware,5441
198,Cooking basics,5441
199,Oven,5441
200,Host greets you,5441
201,Internet,5803
202,Wifi,5803
203,Air conditioning,5803
204,Free street parking,5803
205,Heating,5803
206,Family/kid friendly,5803
207,Suitable for events,5803
208,Washer,5803
209,Dryer,5803
210,Smoke detector,5803
211,Carbon monoxide detector,5803
212,First aid kit,5803
213,Safety card,5803
214,Fire extinguisher,5803
215,Essentials,5803
216,Shampoo,5803
217,Hangers,5803
218,Hair dryer,5803
219,Iron,5803
220,Laptop friendly workspace,5803
221,Self check-in,5803
222,Lockbox,5803
223,Hot water,5803
224,Coffee maker,5803
225,Patio or balcony,5803
226,Garden or backyard,5803
227,Beach essentials,5803
228,Luggage dropoff allowed,5803
229,TV,6021
230,Internet,6021
231,Wifi,6021
232,Air conditioning,6021
233,Paid parking off premises,6021
234,Elevator,6021
235,Free street parking,6021
236,Buzzer/wireless intercom,6021
237,Heating,6021
238,Smoke detector,6021
239,Carbon monoxide detector,6021
240,Essentials,6021
241,Lock on bedroom door,6021
242,Hair dryer,6021
243,Private entrance,6021
244,Hot water,6021
245,Microwave,6021
246,Refrigerator,6021
247,Dishes and silverware,6021
248,Host greets you,6021
249,Wifi,6090
250,Air conditioning,6090
251,Kitchen,6090
252,Heating,6090
253,Smoke detector,6090
254,Carbon monoxide detector,6090
255,Essentials,6090
256,Shampoo,6090
257,Hangers,6090
258,Hair dryer,6090
259,Iron,6090
260,Laptop friendly workspace,6090
261,translation missing: en.hosting_amenity_49,6090
262,translation missing: en.hosting_amenity_50,6090
263,Hot water,6090
264,Bed linens,6090
265,Extra pillows and blankets,6090
266,Microwave,6090
267,Refrigerator,6090
268,Dishwasher,6090
269,Dishes and silverware,6090
270,Cooking basics,6090
271,Stove,6090
272,Long term stays allowed,6090
273,Other,6090
274,TV,6848
275,Wifi,6848
276,Air conditioning,6848
277,Kitchen,6848
278,Free street parking,6848
279,Heating,6848
280,Family/kid friendly,6848
281,Washer,6848
282,Smoke detector,6848
283,Carbon monoxide detector,6848
284,Fire extinguisher,6848
285,Essentials,6848
286,Shampoo,6848
287,Hangers,6848
288,Hair dryer,6848
289,Iron,6848
290,Laptop friendly workspace,6848
291,translation missing: en.hosting_amenity_50,6848
292,Hot water,6848
293,Bed linens,6848
294,Extra pillows and blankets,6848
295,Microwave,6848
296,Coffee maker,6848
